rank,College Name,Location,nces_id,state,address,phone_number,website,type,awards_offered,campus_housing,student_population,student_faculty_ratio,SAT Math,SAT R/W,Admission Rate,Admissions Deadline,Overall Grade,College Grade Card,Popular Majors,College Description,Avg Salary,Employment Rate,College Highlights
74,University of Houston,Houston,225511.0,TX,212 E. Cullen Building Houston Texas 77204-2018,(713) 743-1000,www.uh.edu/,4-year Public,Bachelor's degreeMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,47090 (39165 undergraduate),23 to 1,560-660,560-650,63%,November 8,A-,"Academics : A-,Value : A-,Diversity : A,Campus : B,Athletics : A,Party Scene : A-,Professors : A,Location : B-,Dorms : B,Campus Food : A,Student Life : A-,Safety : C","Psychology,Finance,Foods, Nutrition, and Wellness Studies,Accounting,Biology,Liberal Arts and Humanities,Kinesiology and Exercise Science,Hospitality and Tourism Management,Marketing,Information Science","Houston is a highly rated public university located in Houston, Texas. It is a large institution with an enrollment of 28,368 undergraduate students. Admissions is somewhat competitive as the Houston acceptance rate is 65%. Popular majors include Psychology, Finance, and Foods, Nutrition, and Wellness Studies. Graduating 61% of students, Houston alumni go on to earn a starting salary of $43,100.","$51,600/ year
National avg salary is $33,028","91%
National is 83%","Best Hispanic-Serving Institutions in America:9 of 356,Best Colleges for Information Technology in America:46 of 238,Best Colleges for Accounting and Finance in America:65 of 814"
75,George Mason University,Fairfax,232186.0,VA,4400 University Dr Fairfax Virginia 22030-4444,(703) 993-1000,www2.gmu.edu/,4-year Public,Bachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,38541 (27104 undergraduate),17 to 1,540-650,560-650,89%,November 1,B+,"Academics : B,Value : A,Diversity : A+,Campus : B-,Athletics : B+,Party Scene : B,Professors : B,Location : A-,Dorms : B-,Campus Food : B+,Student Life : B+,Safety : B+","Police and Criminal Science,Psychology,Information Technology,Liberal Arts and Humanities,Biology,Management Sciences and Information Systems,Accounting,Information Science,Business,Rhetoric and Composition","George Mason is an above-average public university located in Virginia. It is a large institution with an enrollment of 21,672 undergraduate students. The George Mason acceptance rate is 87%. Popular majors include Police and Criminal Science, Psychology, and Information Technology. Graduating 71% of students, George Mason alumni go on to earn a starting salary of $44,900.","$59,900/ year
National avg salary is $33,028","92%
National is 83%","Best Colleges for Information Technology in America:42 of 238,Best Colleges for Criminal Justice in America:59 of 666,Best Colleges for Public Health in America:70 of 245"
76,University of Oregon,Eugene ,209551.0,OR,110 Johnson Hall Eugene Oregon 97403,(541) 346-1000,www.uoregon.edu/,4-year Public,Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,21752 (18045 undergraduate),18 to 1,540-640,550-650,83%,November 1,A-,"Academics : A-,Value : B+,Diversity : A,Campus : A,Athletics : A+,Party Scene : A+,Professors : A+,Location : B,Dorms : B,Campus Food : A+,Student Life : A,Safety : C+","Business,Economics,Social Science Research Methods,Advertising,Psychology,Physiology and Pathology,Public Relations,Political Science and Government,Sociology,Journalism","Nestled in the lush Willamette Valley, ideally situated between the Pacific Ocean and the Cascade Mountains, the University of Oregon is renowned for its research prowess and commitment to teaching. We're a member of the Association of American Universities, meaning we're one of the top 62 research universities in the nation. With nine schools and collegesand more than 300 academic programswe offer more than 3,000 undergraduate classes that will challenge you to think critically, creatively, and globally.","$44,800/ year
National avg salary is $33,028","91%
National is 83%","Most Liberal Colleges in America:10 of 849,Best College Food in America:17 of 1,392,Best College Athletics in America:42 of 1,422"
77,"University of California, Santa Cruz",Santa Cruz ,,,,,,,,,,,570-700,580-670,65%,,B+,"Academics : B+,Value : B+,Diversity : A,Campus : B,Athletics : C,Party Scene : B,Professors : A-,Location : B,Dorms : C-,Campus Food : B-,Student Life : B-,Safety : C+","Computer Science,Psychology,Managerial Economics,Cellular Biology,Sociology,Environmental Science,Political Science and Government,Economics,Literature,Cinematography and Video Production","UC Santa Cruz is an above-average public university located in Santa Cruz, California. It is a large institution with an enrollment of 16,994 undergraduate students. Admissions is fairly competitive as the UC Santa Cruz acceptance rate is 51%. Popular majors include Computer Science, Psychology, and Managerial Economics. Graduating 75% of students, UC Santa Cruz alumni go on to earn a starting salary of $33,800.","$46,900/ year
National avg salary is $33,028","91%
National is 83%","Most Liberal Colleges in America:4 of 849,Best Hispanic-Serving Institutions in America:24 of 356,Best Colleges for Information Technology in America:54 of 238"
78,University of Illinois at Chicago,Chicago ,,,,,,,,,,,520-640,510-610,73%,November 1,B+,"Academics : B+,Value : A-,Diversity : A+,Campus : C-,Athletics : B,Party Scene : B,Professors : A,Location : A,Dorms : C-,Campus Food : B,Student Life : B,Safety : B-","Biology,Psychology,Nursing,Finance,Computer Science,Criminal Justice and Safety Studies,Accounting,Kinesiology and Exercise Science,Marketing,Mechanical Engineering","Illinois at Chicago is an above-average public university located in Chicago, Illinois. It is a large institution with an enrollment of 20,195 undergraduate students. Admissions is somewhat competitive as the Illinois at Chicago acceptance rate is 73%. Popular majors include Biology, Psychology, and Nursing. Graduating 61% of students, Illinois at Chicago alumni go on to earn a starting salary of $39,600.","$54,300/ year
National avg salary is $33,028","91%
National is 83%","Best Hispanic-Serving Institutions in America:17 of 356,Most Diverse Colleges in America:84 of 1,616,Best Big Colleges in America:84 of 128"
79,"University of California, San Francisco",San Francisco ,,,,,,,,,,,,,,,,,,,,,
80,University of Notre Dame,Notre Dame,152080.0,IN,400 Main Building Notre Dame Indiana 46556,(574) 631-5000,www.nd.edu/,4-year Private not-for-profit,Bachelor's degreeMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,12809 (8874 undergraduate),9 to 1,710-790,690-760,19%,November 1,A+,"Academics : A+,Value : A+,Diversity : A-,Campus : A,Athletics : A+,Party Scene : A-,Professors : A+,Location : C,Dorms : A,Campus Food : A,Student Life : A+,Safety : B+","Finance,Economics,Political Science and Government,Mathematics,Mechanical Engineering,Information Science,Neuroscience and Neurobiology,Management Sciences and Information Systems,Accounting,Psychology","Notre Dame is a highly rated private, Catholic university located in Portage Township, Indiana in the South Bend Area. It is a mid-size institution with an enrollment of 8,708 undergraduate students. Admissions is competitive as the Notre Dame acceptance rate is 16%. Popular majors include Finance, Economics, and Political Science and Government. Graduating 96% of students, Notre Dame alumni go on to earn a starting salary of $61,800.","$78,400/ year
National avg salary is $33,028","95%
National is 83%","Best Catholic Colleges in America:1 of 164,Best Colleges for Accounting and Finance in America:2 of 814,Best Colleges for Student Athletes in America:5 of 1,400"
81,University of Connecticut,Storrs ,129020.0,CT,352 Mansfield Road Storrs Connecticut 06269,(860) 486-2000,uconn.edu/,4-year Public,Associate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,27215 (18917 undergraduate),16 to 1,590-710,580-680,56%,December 1,A,"Academics : A-,Value : A,Diversity : A,Campus : B-,Athletics : A+,Party Scene : A,Professors : B+,Location : C+,Dorms : C+,Campus Food : B+,Student Life : A,Safety : B+","Psychology,Economics,Communications,Nursing,Biology,Finance,Liberal Arts and Humanities,Medical Assistant,Human Development,Political Science and Government","Connecticut is a highly rated public university located in Storrs, Connecticut. It is a large institution with an enrollment of 18,229 undergraduate students. Admissions is fairly competitive as the Connecticut acceptance rate is 49%. Popular majors include Psychology, Economics, and Communications. Graduating 84% of students, Connecticut alumni go on to earn a starting salary of $46,400.","$58,400/ year
National avg salary is $33,028","95%
National is 83%","Best College Athletics in America:7 of 1,422,Best Colleges for Student Athletes in America:31 of 1,400,Best Colleges for Agricultural Sciences in America:33 of 142"
82,Emory University,Atlanta,139658.0,GA,201 Dowman Drive Atlanta Georgia 30322,(404) 727-6123,www.emory.edu/,4-year Private not-for-profit,Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,13997 (7010 undergraduate),9 to 1,700-790,680-740,19%,November 1,A+,"Academics : A+,Value : A+,Diversity : A+,Campus : A-,Athletics : B-,Party Scene : B,Professors : A+,Location : A-,Dorms : A,Campus Food : B,Student Life : A,Safety : B-","Business,Nursing,Biology,Economics,Neuroscience and Neurobiology,Psychology,Chemistry,Political Science and Government,Physical Education Teaching and Coaching,Liberal Arts and Humanities","Emory is a highly rated private, Christian university located in Atlanta, Georgia. It is a mid-size institution with an enrollment of 7,012 undergraduate students. Admissions is competitive as the Emory acceptance rate is 16%. Popular majors include Business, Nursing, and Biology. Graduating 90% of students, Emory alumni go on to earn a starting salary of $57,500.","$66,000/ year
National avg salary is $33,028","92%
National is 83%","Best Christian Colleges in America:2 of 364,Best Colleges for Nursing in America:3 of 726,Best Colleges for Chemistry in America:8 of 651"
83,Temple University,Philadelphia ,216339.0,PA,1801 North Broad Street Philadelphia Pennsylvania 19122-6096,(215) 204-7000,www.temple.edu/,4-year Public,Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,37236 (27306 undergraduate),13 to 1,540-640,550-640,71%,November 1,A-,"Academics : A-,Value : A-,Diversity : A,Campus : B,Athletics : A,Party Scene : A+,Professors : A,Location : B,Dorms : B-,Campus Food : A,Student Life : A+,Safety : B-","Psychology,Finance,Marketing,Biology,Kinesiology and Exercise Science,Radio and Television,Accounting,Criminal Justice and Safety Studies,Insurance,Advertising","Temple is a highly rated public university located in Philadelphia, Pennsylvania. It is a large institution with an enrollment of 26,247 undergraduate students. Admissions is somewhat competitive as the Temple acceptance rate is 60%. Popular majors include Psychology, Finance, and Marketing. Graduating 74% of students, Temple alumni go on to earn a starting salary of $39,100.","$50,500/ year
National avg salary is $33,028","93%
National is 83%","Best Colleges for Criminal Justice in America:14 of 666,Best Colleges for Sports Management in America:23 of 435,Best Colleges for Kinesiology and Physical Therapy in America:25 of 585"
84,Northeastern University,Boston ,167358.0,MA,360 Huntington Ave Boston Massachusetts 02115-5005,(617) 373-2000,www.northeastern.edu/,4-year Private not-for-profit,Bachelor's degreeMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,22905 (15156 undergraduate),14 to 1,720-790,690-750,20%,November 1,A+,"Academics : A+,Value : A,Diversity : A+,Campus : A-,Athletics : B+,Party Scene : B+,Professors : A+,Location : A+,Dorms : B,Campus Food : B,Student Life : A+,Safety : B","Business,Information Science,Mechanical Engineering,Economics,Chemical Engineering,Communications,Biology,Neuroscience and Neurobiology,Research and Experimental Psychology,Political Science and Government","Northeastern is a highly rated private university located in Boston, Massachusetts. It is a large institution with an enrollment of 14,156 undergraduate students. Admissions is competitive as the Northeastern acceptance rate is 18%. Popular majors include Business, Information Science, and Mechanical Engineering. Graduating 89% of students, Northeastern alumni go on to earn a starting salary of $54,400.","$67,400/ year
National avg salary is $33,028","95%
National is 83%","Most Liberal Colleges in America:6 of 849,Best Colleges for Criminal Justice in America:8 of 666,Best Colleges for Design in America:8 of 419"
85,University of Missouri,Columbia,,,,,,,,,,,,,,,A-,"Academics : A-,Value : A,Diversity : A-,Campus : A,Athletics : A,Party Scene : A+,Professors : A,Location : A-,Dorms : A-,Campus Food : A,Student Life : A+,Safety : B-","Minority and Ethnic Studies,Business,Health Service Preparatory Studies,Journalism,Psychology,Biology,Liberal Arts and Humanities,Nursing,Mechanical Engineering,Communications","Mizzou is a highly rated public university located in Columbia, Missouri. It is a large institution with an enrollment of 20,676 undergraduate students. The Mizzou acceptance rate is 81%. Popular majors include Minority and Ethnic Studies, Business, and Health Service Preparatory Studies. Graduating 71% of students, Mizzou alumni go on to earn a starting salary of $39,400.","$48,300/ year
National avg salary is $33,028","95%
National is 83%","Best Greek Life Colleges in America:28 of 824,Best Colleges for Agricultural Sciences in America:36 of 142,Top Party Schools in America:42 of 1,612"
86,University of Central Florida,Orlando ,132903.0,FL,4000 Central Florida Blvd Orlando Florida 32816,(407) 823-2000,www.ucf.edu/,4-year Public,Associate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,71881 (61401 undergraduate),31 to 1,570-670,590-670,45%,May 1,A,"Academics : A-,Value : A-,Diversity : A,Campus : A,Athletics : A,Party Scene : A,Professors : B+,Location : A-,Dorms : A-,Campus Food : A,Student Life : A+,Safety : B+","Psychology,Liberal Arts and Humanities,Health Service Preparatory Studies,Hospitality and Tourism Management,Business,Nursing,Criminal Justice and Safety Studies,Finance,Biomedical Sciences and Molecular Medicine,Physical Education Teaching and Coaching","Central Florida is a highly rated public university located in Florida. It is a large institution with an enrollment of 42,468 undergraduate students. Admissions is fairly competitive as the Central Florida acceptance rate is 44%. Popular majors include Psychology, Liberal Arts and Humanities, and Health Service Preparatory Studies. Graduating 72% of students, Central Florida alumni go on to earn a starting salary of $37,100.","$45,400/ year
National avg salary is $33,028","93%
National is 83%","Best Hispanic-Serving Institutions in America:3 of 356,Best Colleges for Culinary Arts in America:17 of 131,Best Colleges for Education in America:28 of 921"
87,University of Kansas,Lawrence ,155317.0,KS,Strong Hall 1450 Jayhawk Blvd Room 230 Lawrence Kansas 66045,(785) 864-2700,ku.edu/,4-year Public,One but less than two years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,26744 (19135 undergraduate),17 to 1,530-670,540-650,91%,November 1,A-,"Academics : B+,Value : A-,Diversity : A,Campus : A,Athletics : A+,Party Scene : A+,Professors : A-,Location : A,Dorms : B+,Campus Food : A-,Student Life : A+,Safety : B-","Journalism,Psychology,Finance,Nursing,Business,Biology,Accounting,Marketing,Communications,Liberal Arts and Humanities","Were an innovative research institution, a school rich with tradition, and a home to students who, as alumni, go on to lead their professions.","$48,800/ year
National avg salary is $33,028","94%
National is 83%","Best College Athletics in America:28 of 1,422,Top Party Schools in America:34 of 1,612,Best Greek Life Colleges in America:47 of 824"
88,University of Kentucky,Lexington,157085.0,KY,South Limestone Lexington Kentucky 40506-0032,(859) 257-9000,www.uky.edu/,4-year Public,Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,29986 (22227 undergraduate),16 to 1,530-640,540-640,96%,December 1,B+,"Academics : B+,Value : B+,Diversity : A-,Campus : A,Athletics : A+,Party Scene : A+,Professors : A-,Location : A-,Dorms : A,Campus Food : A-,Student Life : A+,Safety : C+","Marketing,Business,Nursing,Psychology,Biology,Communications,Finance,Mechanical Engineering,Information Science,Physical Education Teaching and Coaching","Kentucky is an above-average public university located in Lexington, Kentucky. It is a large institution with an enrollment of 20,622 undergraduate students. The Kentucky acceptance rate is 96%. Popular majors include Marketing, Business, and Nursing. Graduating 66% of students, Kentucky alumni go on to earn a starting salary of $36,900.","$45,100/ year
National avg salary is $33,028","94%
National is 83%","Best College Athletics in America:20 of 1,422,Best College Dorms in America:50 of 1,392,Best Colleges for Agricultural Sciences in America:50 of 142"
89,Florida International University,Miami,133951.0,FL,11200 S. W. 8 Street Miami Florida 33199,(305) 348-2000,www.fiu.edu/,4-year Public,Associate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,58836 (49049 undergraduate),25 to 1,540-620,570-640,58%,April 1,A-,"Academics : A-,Value : A-,Diversity : A,Campus : A+,Athletics : A-,Party Scene : A,Professors : A-,Location : A-,Dorms : A-,Campus Food : A+,Student Life : A+,Safety : A-","Liberal Arts and Humanities,Psychology,Biology,Communications,Hospitality and Tourism Management,Finance,Marketing,International Business,Criminal Justice and Safety Studies,Business","FIU is a highly rated public university located in University Park, Florida in the Miami Area. It is a large institution with an enrollment of 28,335 undergraduate students. Admissions is fairly competitive as the FIU acceptance rate is 58%. Popular majors include Liberal Arts and Humanities, Psychology, and Biology. Graduating 63% of students, FIU alumni go on to earn a starting salary of $38,700.","$46,300/ year
National avg salary is $33,028","90%
National is 83%","Best Online Colleges in America:2 of 326,Best Hispanic-Serving Institutions in America:7 of 356,Best College Campuses in America:19 of 1,419"
90,University of New Mexico,Albuquerque ,,,,,,,,,,,510-620,520-630,54%,June 1,B,"Academics : B,Value : B-,Diversity : A,Campus : B-,Athletics : A-,Party Scene : B+,Professors : A,Location : B-,Dorms : B-,Campus Food : B+,Student Life : B-,Safety : C-","Business,Psychology,Nursing,Biology,Liberal Arts and Humanities,Rhetoric and Composition,Criminal Justice and Law Enforcement Administration,Political Science and Government,Elementary Education,Mechanical Engineering","Each of us defines all of us. We are a community of unique perspectives embracing our differences. We are a culture of contrast, not a contrast of cultures. Unafraid to let our colors run and blend and let the very things that divide us become the things that unite us. So we can create, collect and spread knowledge  about everything from nuclear engineering and fine art to enzymatic fuel cells, revolutionary medicine and forensic accounting. What makes us different makes us strong.","$36,400/ year
National avg salary is $33,028","85%
National is 83%","Best Hispanic-Serving Institutions in America:88 of 356,Colleges with the Best Professors in America:145 of 1,624,Best College Athletics in America:164 of 1,422"
91,Drexel University,Philadelphia,212054.0,PA,3141 Chestnut St Philadelphia Pennsylvania 19104,(215) 895-2000,drexel.edu/,4-year Private not-for-profit,Less than one year certificateOne but less than two years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,23589 (14616 undergraduate),11 to 1,590-700,590-680,77%,November 1,A-,"Academics : A-,Value : A,Diversity : A+,Campus : C,Athletics : B,Party Scene : B+,Professors : A+,Location : A+,Dorms : C-,Campus Food : C,Student Life : B+,Safety : B","Nursing,Accounting,Mechanical Engineering,Management Sciences and Information Systems,Marketing,Biology,Computer Science,Bioengineering and Biomedical Engineering,Electrical Engineering,Health Service Preparatory Studies","Drexel is a highly rated private university located in Philadelphia, Pennsylvania. It is a large institution with an enrollment of 13,878 undergraduate students. Admissions is somewhat competitive as the Drexel acceptance rate is 75%. Popular majors include Nursing, Accounting, and Mechanical Engineering. Graduating 69% of students, Drexel alumni go on to earn a starting salary of $53,400.","$68,800/ year
National avg salary is $33,028","94%
National is 83%","Best Colleges for Culinary Arts in America:11 of 131,Best Colleges for Nursing in America:32 of 726,Colleges with the Best Professors in America:47 of 1,624"
92,"The University of Tennessee, Knoxville",Knoxville ,,,,,,,,,,,,,,,A-,"Academics : A-,Value : A-,Diversity : B+,Campus : B-,Athletics : A+,Party Scene : A+,Professors : A,Location : B+,Dorms : C,Campus Food : B,Student Life : A,Safety : C+","Logistics and Supply Chain Management,Psychology,Nursing,Marketing,Kinesiology and Exercise Science,Finance,Biology,Liberal Arts and Humanities,Political Science and Government,Accounting","UT Knoxville is a highly rated public university located in Knoxville, Tennessee. It is a large institution with an enrollment of 22,018 undergraduate students. Admissions is somewhat competitive as the UT Knoxville acceptance rate is 79%. Popular majors include Logistics and Supply Chain Management, Psychology, and Nursing. Graduating 72% of students, UT Knoxville alumni go on to earn a starting salary of $36,900.","$45,100/ year
National avg salary is $33,028","94%
National is 83%","Best College Athletics in America:35 of 1,422,Best Colleges for Architecture in America:63 of 156,Top Party Schools in America:68 of 1,612"
93,Rochester Institute of Technology,Rochester,195003.0,NY,1 Lomb Memorial Dr Rochester New York 14623-5603,(585) 475-2411,www.rit.edu/,4-year Private not-for-profit,Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarship,Yes,16158 (13412 undergraduate),13 to 1,620-730,600-690,74%,November 1,A-,"Academics : A-,Value : A-,Diversity : A,Campus : C,Athletics : C+,Party Scene : B-,Professors : B+,Location : B-,Dorms : C-,Campus Food : B-,Student Life : B,Safety : B+","Liberal Arts and Humanities,Mechanical Engineering,Computer Science,Computer Graphics,Electrical Engineering,Mechanical Engineering Technician,Computer Software Engineering,Biomedical Sciences and Molecular Medicine,Industrial Engineering,Computer and Information Systems Security","At RIT, we shape the future and improve the world through creativity and innovation. As an engaged, intellectually curious, and socially conscious community, we leverage the power of technology, the arts, and design to make to move the world forward. ","$62,400/ year
National avg salary is $33,028","93%
National is 83%","Best Colleges for Information Technology in America:18 of 238,Best Colleges for Design in America:34 of 419,Best Colleges for Film and Photography in America:70 of 278"
94,University of Miami,Coral Gables ,135726.0,FL,University of Miami Coral Gables Florida 33146,(305) 284-2211,www.miami.edu/,4-year Private not-for-profit,Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,17809 (11334 undergraduate),12 to 1,630-720,620-700,33%,November 1,A+,"Academics : A+,Value : A-,Diversity : A+,Campus : A-,Athletics : A+,Party Scene : A+,Professors : A+,Location : A,Dorms : C-,Campus Food : B-,Student Life : A+,Safety : B","Nursing,Finance,Psychology,Business,Economics,Biology,Marketing,Political Science and Government,Advertising,Public Relations","At the University of Miami, we transform lives through teaching, research, and service. Our students are agents of change who are passionate about learning, eager to contribute to their community, and free to color outside the lines. Ranked No. 47 in the 2019Wall Street Journal/Times Higher EducationCollege Rankings, the University of Miami is home to 10,000+ degree-seeking undergraduate students across 9 undergraduate schools and colleges.","$60,100/ year
National avg salary is $33,028","90%
National is 83%","Best Colleges for Kinesiology and Physical Therapy in America:5 of 585,Best Colleges for Sports Management in America:5 of 435,Best Colleges for Criminal Justice in America:7 of 666"
95,Louisiana State University,Baton Rouge,,,,,,,,,,,540-640,550-660,73%,December 15,A-,"Academics : B+,Value : A-,Diversity : A-,Campus : B+,Athletics : A+,Party Scene : A+,Professors : A-,Location : C-,Dorms : B-,Campus Food : A-,Student Life : A,Safety : C+","Physical Education Teaching and Coaching,Communications,Biology,Business,Marketing,Construction Management,Psychology,Accounting,Finance,Liberal Arts and Humanities","As one of the nation's most prestigious flagship universities, LSU has been a world leader in research and innovation for more than 160 years. Through our relentless dedication to conquering threats and creating solutions, our global scholars deliver breakthroughs that address the needs of today's society. That is where you come in. ","$50,100/ year
National avg salary is $33,028","93%
National is 83%","Best College Athletics in America:3 of 1,422,Best Greek Life Colleges in America:30 of 824,Best Colleges for Student Athletes in America:42 of 1,400"
96,The University of Alabama,Tuscaloosa,100751.0,AL,739 University Blvd Tuscaloosa Alabama 35487-0100,(205) 348-6010,www.ua.edu/,4-year Public,Bachelor's degreeMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,37840 (31670 undergraduate),20 to 1,,,,,A-,"Academics : B+,Value : B+,Diversity : A-,Campus : A+,Athletics : A+,Party Scene : A+,Professors : A-,Location : B+,Dorms : A+,Campus Food : A,Student Life : A+,Safety : B-","Marketing,Finance,Business,Nursing,Mechanical Engineering,Psychology,Accounting,Public Relations,Management Sciences and Information Systems,Physical Education Teaching and Coaching","Alabama is a highly rated public university located in Tuscaloosa, Alabama. It is a large institution with an enrollment of 29,135 undergraduate students. The Alabama acceptance rate is 83%. Popular majors include Marketing, Finance, and Business. Graduating 71% of students, Alabama alumni go on to earn a starting salary of $37,400.","$44,500/ year
National avg salary is $33,028","93%
National is 83%","Best College Athletics in America:2 of 1,422,Best Greek Life Colleges in America:2 of 824,Top Party Schools in America:5 of 1,612"
97,San Diego State University,San Diego ,122409.0,CA,5500 Campanile Dr San Diego California 92182-0001,(619) 594-5200,www.sdsu.edu/,4-year Public,Bachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practiceDoctor's degree - other,Yes,36334 (31491 undergraduate),27 to 1,540-660,550-640,37%,November 30,A-,"Academics : B+,Value : A-,Diversity : A+,Campus : A,Athletics : A,Party Scene : A+,Professors : B-,Location : A,Dorms : C+,Campus Food : A,Student Life : A+,Safety : B","Business,Psychology,Liberal Arts and Humanities,Criminal Justice and Safety Studies,Physical Education Teaching and Coaching,Communications,Biology,Mechanical Engineering,Economics,Arts","San Diego State is a highly rated public university located in San Diego, California. It is a large institution with an enrollment of 27,638 undergraduate students. Admissions is fairly competitive as the San Diego State acceptance rate is 34%. Popular majors include Business, Psychology, and Liberal Arts and Humanities. Graduating 73% of students, San Diego State alumni go on to earn a starting salary of $37,700.","$51,000/ year
National avg salary is $33,028","92%
National is 83%","Best Hispanic-Serving Institutions in America:8 of 356,Top Party Schools in America:20 of 1,612,Best Greek Life Colleges in America:21 of 824"
98,American University,Washington,131159.0,DC,4400 Massachusetts Ave NW Washington District of Columbia 20016-8001,(202) 885-1000,www.american.edu/,4-year Private not-for-profit,Less than one year certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,14001 (7953 undergraduate),11 to 1,590-680,630-710,39%,November 15,A-,"Academics : A,Value : A-,Diversity : A,Campus : C+,Athletics : B,Party Scene : B+,Professors : A-,Location : A,Dorms : C,Campus Food : C-,Student Life : B,Safety : B","International Relations,Business,Political Science and Government,Liberal Arts and Humanities,Public Relations,Economics,Public Health,Journalism,Criminal Justice and Safety Studies,Psychology","American is a highly rated private, Christian university located in Washington, D.C. It is a mid-size institution with an enrollment of 8,207 undergraduate students. Admissions is fairly competitive as the American acceptance rate is 36%. Popular majors include International Relations, Business, and Political Science and Government. Graduating 79% of students, American alumni go on to earn a starting salary of $45,600.","$61,000/ year
National avg salary is $33,028","92%
National is 83%","Most Liberal Colleges in America:1 of 849,Best Colleges for International Relations in America:16 of 410,Best Colleges for Criminal Justice in America:17 of 666"
99,Boston College,Chestnut Hill,164924.0,MA,140 Commonwealth Avenue Chestnut Hill Massachusetts 02467,(617) 552-8000,www.bc.edu/,4-year Private not-for-profit,Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,14934 (9780 undergraduate),14 to 1,670-770,660-730,26%,November 1,A+,"Academics : A+,Value : A+,Diversity : A-,Campus : A,Athletics : A+,Party Scene : A-,Professors : A,Location : A-,Dorms : B-,Campus Food : B+,Student Life : A+,Safety : B+","Economics,Psychology,Finance,Communications,Biology,Political Science and Government,Marketing,English,Nursing,Accounting","Boston College is a highly rated private, Catholic college located in Newton, Massachusetts in the Boston Area. It is a mid-size institution with an enrollment of 9,666 undergraduate students. Admissions is competitive as the Boston College acceptance rate is 27%. Popular majors include Economics, Psychology, and Finance. Graduating 94% of students, Boston College alumni go on to earn a starting salary of $57,000.","$72,500/ year
National avg salary is $33,028","94%
National is 83%","Best Catholic Colleges in America:3 of 164,Best Colleges for Accounting and Finance in America:4 of 814,Best Colleges for Nursing in America:12 of 726"
